board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year,gender
Jones Ultra Mountain Twin,https://thegoodride.com/snowboard-reviews/jones-ultra-mountain-twin-2016-2021-snowboard-review,Loved it!,All Mountain,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Directional Twin,Hybrid Camber,Centered,Feels Normal,Good,Good,Good,Great,Good,Great,Great,Average,Good,"['2016', '2021']",mens
Jones Ultracraft,https://thegoodride.com/snowboard-reviews/jones-ultracraft-2014-2021-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Excellent,Great,Great,Great,Good,Poor,Good,Poor,Poor,"['2014', '2021']",mens
K2 Afterblack,https://thegoodride.com/snowboard-reviews/k2-afterblack-2020-snowboard-review,None,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",China,True Twin,Mostly Camber,Centered,Feels Normal,Poor,Good,Good,Great,Good,Great,Great,Average,Good,['2020'],mens
K2 Broadcast,https://thegoodride.com/snowboard-reviews/k2-broadcast-2019-snowboard-review,Loved it!,Freeride,Intermediate - Expert,"< 8, 8-10, 10-12, > 12",China,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Good,Great,Great,Good,Good,Average,Good,['2019'],mens
K2 Carve Air,https://thegoodride.com/snowboard-reviews/k2-carve-air-2017-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Directional,Mostly Camber,Centered,Feels Normal,Average,Great,Good,Good,Good,Average,Good,Average,Good,['2017'],mens
K2 Cool Bean,https://thegoodride.com/snowboard-reviews/k2-cool-bean-2016-2019-snowboard-review,It´s OK,Powder,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Good,Average,Poor,Average,Average,Average,"['2016', '2019']",mens
K2 Eighty Seven,https://thegoodride.com/snowboard-reviews/k2-eighty-seven-2017-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Great,Great,Good,Good,Average,Average,Average,Poor,Average,"['2017', '2019']",mens
K2 Joy Driver,https://thegoodride.com/snowboard-reviews/k2-joy-driver-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Normal,Good,Good,Good,Great,Great,Good,Good,Poor,Good,['2020'],mens
K2 Manifest,https://thegoodride.com/snowboard-reviews/k2-manifest-2019-snowboard-review,Loved it!,All Mountain,Intermediate - Expert,"8-10, 10-12",China,Twinish,Hybrid Camber,Setback -20mm,Feels Normal,Good,Great,Great,Great,Good,Good,Great,Average,Great,['2019'],mens
K2 Overboard,https://thegoodride.com/snowboard-reviews/k2-overboard-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,China,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Great,Good,Good,Great,Good,Poor,Average,Poor,Average,['2020'],mens
K2 Party Platter,https://thegoodride.com/snowboard-reviews/k2-party-platter-2017-2019-snowboard-review,Pretty Good,Powder,Intermediate - Expert,"8-10, 10-12",China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Poor,Average,Poor,Average,Average,Average,Poor,"['2017', '2019']",mens
K2 Raygun,https://thegoodride.com/snowboard-reviews/k2-raygun-2010-2019-snowboard-review,Pretty Good,All Mountain,Beginner - Expert,"8-10, 10-12, > 12",China,Directional Twin,Flat to Rocker,Setback -20mm,Feels Normal,Good,Average,Average,Average,Great,Good,Average,Good,Average,"['2010', '2019']",mens
K2 Simple Pleasures,https://thegoodride.com/snowboard-reviews/k2-simple-pleasures-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",China,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Great,Great,Great,Great,Good,Poor,Good,Poor,Good,['2020'],mens
Korua Bullet Train,https://thegoodride.com/snowboard-reviews/korua-bullet-train-2020-snowboard-reveiw,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Poland,Tapered Directional,Mostly Camber,Setback -20mm,Feels Normal,Good,Excellent,Excellent,Excellent,Average,Poor,Average,Poor,Poor,['2020'],mens
Korua Cafe' Racer,https://thegoodride.com/snowboard-reviews/korua-cafe'-racer-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"< 8, 8-10, 10-12, > 12",Poland,Tapered Directional,Mostly Camber,Setback -20mm,Feels Normal,Great,Excellent,Excellent,Great,Great,Poor,Average,Poor,Good,['2020'],mens
Korua Dart,https://thegoodride.com/snowboard-reviews/korua-dart-2019-2020-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Poland,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Excellent,Great,Great,Great,Good,Poor,Good,Poor,Good,"['2019', '2020']",mens
Korua Otto,https://thegoodride.com/snowboard-reviews/korua-otto-2018-2020-snowboard-review,Loved it!,All Mountain,Advanced - Expert,"8-10, 10-12",Poland,Directional,Directional Camber,Setback -10mm,Feels Heavy,Good,Great,Great,Great,Good,Good,Great,Average,Good,"['2018', '2020']",mens
Korua Pencil,https://thegoodride.com/snowboard-reviews/korua-pencil-2019-2020-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",poland,Tapered Directional,Directional Camber,Setback -20mm,Feels Heavy,Great,Excellent,Excellent,Great,Good,Poor,Good,Poor,Average,"['2019', '2020']",mens
Korua Pencil Plus,https://thegoodride.com/snowboard-reviews/korua-pencil-plus-2018-2020-snowboard-review,Loved it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Poland,Tapered Directional,Directional Camber,Setback -20mm,Feels Light,Great,Great,Great,Good,Average,Poor,Average,Poor,Average,"['2018', '2020']",mens
Korua Pocket Rocket,https://thegoodride.com/snowboard-reviews/korua-pocket-rocket-2020-snowboard-review,None,Powder,Advanced - Expert,"8-10, 10-12",Poland,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Light,Excellent,Good,Poor,Average,Poor,Poor,Poor,Poor,,['2020'],mens
Korua Puzzle,https://thegoodride.com/snowboard-reviews/korua-puzzle-snowboard-review-and-buying-advice,Loved it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Europe,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Excellent,Great,Average,Poor,Average,Poor,Average,[],mens
Korua Stealth,https://thegoodride.com/snowboard-reviews/korua-stealth-2018-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Poland,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Great,Great,Great,Good,Good,Poor,Average,Poor,Average,"['2018', '2019']",mens
Korua Tranny Finder,https://thegoodride.com/snowboard-reviews/korua-tranny-finder-2018-2020-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Poland,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Poor,Good,"['2018', '2020']",mens
Korua Tranny Finder Plus,https://thegoodride.com/snowboard-reviews/korua-tranny-finder-plus-2019-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",Poland,Tapered Directional,Directional Camber,Setback -20mm,Feels Light,Great,Great,Great,Good,Average,Average,Good,Poor,Good,"['2019', '2020']",mens
Lago Double Barrel,https://thegoodride.com/snowboard-reviews/lago-double-barrel-snowboard-review-2017,None,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",None,Asymmetrical Twin,Mostly Camber,Centered,Feels Normal,Poor,Great,Great,Great,Good,Excellent,Great,Good,Great,['2017'],mens
Lago Open Road,https://thegoodride.com/snowboard-reviews/lago-open-road-snowboard-review-2017,None,Freeride,Advanced - Expert,"8-10, 10-12",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,,Great,Great,Average,Average,Good,Poor,Average,['2017'],mens
Lib Tech Attack Banana,https://thegoodride.com/snowboard-reviews/lib-tech-attack-banana-2011-2019-snowboard-review,Liked it!,All Mountain,Beginner - Expert,"8-10, 10-12, > 12",USA by Mervin,Directional Twin,Hybrid Rocker,Centered,Feels Normal,Good,Average,Average,Good,Great,Great,Great,Average,Great,"['2011', '2019']",mens
Lib Tech Banana Magic,https://thegoodride.com/snowboard-reviews/lib-tech-banana-magic-2010-2019-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",USA by Mervin,True Twin,Hybrid Rocker,Centered,Feels Light,Average,Average,Average,Good,Great,Great,Good,Good,Great,"['2010', '2019']",mens
Lib Tech Box Knife,https://thegoodride.com/snowboard-reviews/lib-tech-box-knife-2018-2020-snowboard-review,None,Freestyle,Intermediate - Expert,"< 8, 8-10, 10-12",USA by Mervin,True Twin,Hybrid Camber,Centered,Feels Normal,Good,Good,Good,Good,Good,Great,Great,Good,Great,"['2018', '2020']",mens
Lib Tech Box Scratcher,https://thegoodride.com/snowboard-reviews/lib-tech-box-scratcher-2011-2019-snowboard-review,Loved it!,Jib / Street,Beginner - Expert,"8-10, 10-12",USA by Mervin,True Twin,Continuous Rocker,Centered,Feels Normal,Poor,Average,Average,Average,Great,Great,Good,Excellent,Good,"['2011', '2019']",mens
Lib Tech BRD,https://thegoodride.com/snowboard-reviews/lib-tech-brd-2020-snowboard-review,None,Freeride,Intermediate - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Average,Good,['2020'],mens
Lib Tech Cold Brew,https://thegoodride.com/snowboard-reviews/lib-tech-cold-brew-2018-2020-snowboard-review,Pretty Good,Freeride,Beginner - Expert,"< 8, 8-10, 10-12, > 12",USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Average,Average,Average,Poor,Average,"['2018', '2020']",mens
Lib Tech Double Dip,https://thegoodride.com/snowboard-reviews/lib-tech-double-dip-2018-2019-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12, > 12",USA by Mervin,True Twin,Hybrid Rocker,Centered,Feels Normal,Good,Good,Good,Good,Good,Great,Good,Good,Great,"['2018', '2019']",mens
Lib Tech Doughboy Shredder,https://thegoodride.com/snowboard-reviews/lib-tech-doughboy-shredder-2019-snowboard-review,Liked it!,Freeride,Expert,"8-10, 10-12",USA by Mervin,Directional,Mostly Camber,Setback over 20mm,Feels Heavy,Good,Great,Great,Excellent,Poor,Good,Average,Poor,Poor,['2019'],mens
Lib Tech Dynamo,https://thegoodride.com/snowboard-reviews/lib-tech-dynamo-2020-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Good,Good,Great,Average,Great,['2020'],mens
Lib Tech EJack Knife,https://thegoodride.com/snowboard-reviews/lib-tech-ejack-knife-2018-2019-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Average,Excellent,Excellent,Great,Good,Good,Great,Poor,Great,"['2018', '2019']",mens
Lib Tech Hot Knife,https://thegoodride.com/snowboard-reviews/lib-tech-hot-knife-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12, > 12",USA by Mervin,True Twin,Mostly Camber,Centered,Feels Heavy,Poor,Great,Great,Good,Good,Great,Great,Average,Great,"['2013', '2019']",mens
Lib Tech Jamie Lynn Dagmar,https://thegoodride.com/snowboard-reviews/lib-tech-jamie-lynn-dagmar-2019-2020-snowboard-review,Pretty Good,Freeride,Beginner - Expert,"< 8, 8-10, 10-12",USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Good,Good,Good,Good,Great,Average,Good,Average,Good,"['2019', '2020']",mens
Lib Tech Jamie Lynn Titty Fish,https://thegoodride.com/snowboard-reviews/lib-tech-jamie-lynn-titty-fish-2019-2020-snowboard-review,None,Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Good,Average,Great,Poor,Great,"['2019', '2020']",mens
Lib Tech Lando Phoenix,https://thegoodride.com/snowboard-reviews/lib-tech-lando-phoenix-2010-2019-snowboard-review,Liked it!,All Mountain,Beginner - Expert,"8-10, 10-12",USA by Mervin,Twinish,Hybrid Rocker,Setback over 20mm,Feels Heavy,Good,Good,Good,Great,Average,Good,Good,Average,Good,"['2010', '2019']",mens
Lib Tech Lost Quiver Killer,https://thegoodride.com/snowboard-reviews/lib-tech-lost-quiver-killer-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Good,Good,Good,Good,Average,Good,['2021'],mens
Lib Tech Lost Retro Ripper,https://thegoodride.com/snowboard-reviews/lib-tech-lost-retro-ripper-2021-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Traditional Camber,Setback over 20mm,Feels Normal,Great,Excellent,Excellent,Great,Average,Poor,Good,Poor,Average,['2021'],mens
Lib Tech  Lost Rocket,https://thegoodride.com/snowboard-reviews/lib-tech-lost-rocket-2018-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Good,Average,Good,Poor,Good,"['2018', '2020']",mens
Lib Tech Lost Round Nose Fish,https://thegoodride.com/snowboard-reviews/lib-tech-lost-round-nose-fish-2019-snowboard-review,Loved it!,Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Good,Average,Average,Good,Great,Good,Great,Average,Great,['2019'],mens
Lib Tech Lost Twin Rocket,https://thegoodride.com/snowboard-reviews/lib-tech-lost-twin-rocket-2018-snowboard-review,Pretty Good,Freeride,Advanced - Expert,"10-12, > 12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Average,Good,Good,Poor,Good,['2018'],mens
Lib Tech Magic BM,https://thegoodride.com/snowboard-reviews/lib-tech-magic-bm-2020-snowboard-review,None,All Mountain,Beginner - Expert,"8-10, 10-12",USA by Mervin,Directional,Hybrid Rocker,Setback over 20mm,Feels Light,Good,Average,Average,Average,Good,Good,Good,Good,Good,['2020'],mens
Lib Tech MC Snake Kink,https://thegoodride.com/snowboard-reviews/lib-tech-mc-snake-kink-2021-snowboard-review,None,Freeride,Advanced - Expert,8-10,USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Good,Average,Good,Average,Great,['2021'],mens
Lib Tech MC Step Tail,https://thegoodride.com/snowboard-reviews/lib-tech-mc-step-tail-2018-snowboard-review,It´s OK,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Average,Poor,Good,Poor,Good,['2018'],mens
Lib Tech MC Wayfinder,https://thegoodride.com/snowboard-reviews/lib-tech-mc-wayfinder-2019-2020-snowboard-review,Liked it!,Alternative Freeride,Beginner - Expert,8-10,USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Average,Good,Average,Good,Average,Good,"['2019', '2020']",mens
Lib Tech Short Fat,https://thegoodride.com/snowboard-reviews/lib-tech-short-fat-2018-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Good,Poor,Good,Poor,Average,['2018'],mens
Lib Tech Short Wide,https://thegoodride.com/snowboard-reviews/lib-tech-short-wide-2021-snowboard-review,None,Alternative Freeride,Expert,8-10,USA by Mervin,Tapered Directional,Mostly Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Good,Average,Average,Good,Poor,Average,['2021'],mens
Lib Tech Skate Banana,https://thegoodride.com/snowboard-reviews/lib-tech-skate-banana-2010-2017-snowboard-review,Liked it!,Freestyle,Beginner - Expert,"8-10, 10-12, > 12",USA by Mervin,True Twin,Continuous Rocker,Centered,Feels Heavy,Average,Average,Average,Average,Good,Great,Average,Great,Good,"['2010', '2017']",mens
Lib Tech Skunk Ape HP,https://thegoodride.com/snowboard-reviews/lib-tech-skunk-ape-hp-2013-2020-snowboard-review,Liked it!,All Mountain,Beginner - Expert,> 12,USA by Mervin,Directional Twin,Hybrid Rocker,Setback -12.5mm,Feels Normal,Good,Good,Good,Good,Good,Good,Great,Good,Great,"['2013', '2020']",mens
Lib Tech Stump Ape,https://thegoodride.com/snowboard-reviews/lib-tech-stump-ape-2019-2020-snowboard-review,Liked it!,Alternative Freeride,Intermediate - Expert,> 12,USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Good,Average,Good,Average,Good,"['2019', '2020']",mens
Lib Tech Swiss Knife,https://thegoodride.com/snowboard-reviews/lib-tech-swiss-knife-2016-2020-snowboard-review,Liked it!,Freeride,Advanced - Expert,8-10,USA by Mervin,Tapered Directional,Mostly Camber,Centered,Feels Light,Average,Great,Great,Great,Good,Good,Good,Average,Good,"['2016', '2020']",mens
Lib Tech T Ras,https://thegoodride.com/snowboard-reviews/lib-tech-t-ras-2020-snowboard-review,None,All Mountain Freestyle,Intermediate - Expert,10-12,USA by Mervin,True Twin,Hybrid Rocker,Centered,Feels Normal,Average,Good,Good,Great,Average,Great,Great,Average,Great,['2020'],mens
Lib Tech T.Rice Orca,https://thegoodride.com/snowboard-reviews/lib-tech-t-rice-orca-2019-2021-snowboard-review,None,Alternative Freeride,Intermediate - Expert,10-12,USA by Mervin,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Good,Good,Great,Average,Average,Good,Poor,Average,"['2019', '2021']",mens
Lib Tech Terrain Wrecker,https://thegoodride.com/snowboard-reviews/lib-tech-terrain-wrecker-2018-2020-snowbard-review,Loved it!,All Mountain,Beginner - Expert,"< 8, 8-10, 10-12, > 12",USA by Mervin,Directional Twin,Hybrid Rocker,Centered,Feels Normal,Good,Good,Good,Good,Good,Great,Great,Good,Great,"['2018', '2020']",mens
Lib Tech Travis Rice Climax,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-climax-2017-2019-snowboard-review,Pretty Good,All Mountain,Advanced - Expert,10-12,USA by Mervin,Directional,Hybrid Rocker,Setback -20mm,Feels Light,Good,Good,Good,Great,Average,Good,Good,Poor,Good,"['2017', '2019']",mens
Lib Tech Travis Rice Gold Member,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-gold-member-2016-2019-snowboard-review,Pretty Good,All Mountain,Advanced - Expert,"10-12, > 12",USA by Mervin,Directional,Hybrid Rocker,Setback -20mm,Feels Normal,Good,Good,Good,Great,Average,Good,Good,Poor,Great,"['2016', '2019']",mens
Lib Tech Travis Rice Pro HP,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-pro-hp-2016-2019-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,"8-10, 10-12",USA by Mervin,True Twin,Hybrid Rocker,Centered,Feels Normal,Average,Good,Good,Great,Good,Great,Great,Good,Great,"['2016', '2019']",mens
Lib Tech Travis Rice Speedodeeps,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-speedodeeps-2014-2017-snowboard-review,Pretty Good,Powder,Advanced - Expert,10-12,USA by Mervin,True Twin,Hybrid Rocker,Centered,Feels Normal,Good,Average,Average,Good,Great,Great,Good,Average,Average,"['2014', '2017']",mens
Lib Tech TRS Firepower,https://thegoodride.com/snowboard-reviews/lib-tech-trs-firepower-snowboard-2015-2019-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,8-10,USA by Mervin,Directional Twin,Hybrid Rocker,Centered,Feels Light,Average,Good,Good,Good,Good,Great,Great,Average,Excellent,"['2015', '2019']",mens
Lib Tech TRS HP,https://thegoodride.com/snowboard-reviews/lib-tech-trs-hp-2014-2020-snowboard-review,None,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",USA by Mervin,Directional Twin,Hybrid Rocker,Centered,Feels Normal,Average,Good,Good,Good,Good,Great,Great,Good,Excellent,"['2014', '2020']",mens
Lib Tech Utility Knife,https://thegoodride.com/snowboard-reviews/lib-tech-utility-knife-2017-snowboard-review,Pretty Good,Freestyle,Advanced - Expert,"8-10, 10-12",USA by Mervin,True Twin,Mostly Camber,Centered,None,Poor,Good,Good,Good,Good,Great,Great,Good,Great,['2017'],mens
Lib Tech Woodsmith Coho,https://thegoodride.com/snowboard-reviews/lib-tech-woodsmith-coho-2017-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"8-10, 10-12",USA by Mervin,Tapered Directional,Mostly Camber,Setback -12.5mm,Feels Normal,Good,Great,Great,Good,Great,Poor,Average,Poor,Good,['2017'],mens
Lib Tech Worlds Greenest Snowboard,https://thegoodride.com/snowboard-reviews/lib-tech-worlds-greenest-snowboard-2016-2018-review,Liked it!,Freeride,Advanced - Expert,8-10,USA by Mervin,Tapered Directional,Mostly Camber,Setback -12.5mm,Feels Normal,Average,Great,Great,Great,Good,Average,Good,Poor,Good,"['2016', '2018']",mens
Loaded Algernon,https://thegoodride.com/snowboard-reviews/loaded-algernon-2016--2019-snowboard-review,None,All Mountain,Advanced - Expert,"8-10, 10-12",USA-California,Directional Twin,Hybrid Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Great,Good,Great,Average,Great,"['2016', '2019']",mens
Lobster Aaron Schwartz Artist Edition,https://thegoodride.com/snowboard-reviews/lobster-aaron-schwartz-artist-edition-2020-snowboard-review,None,Alternative Freeride,Intermediate - Expert,"8-10, 10-12",Dubai by SWS,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Good,Great,Average,Good,Good,Average,['2020'],mens
Lobster Halldor Pro,https://thegoodride.com/snowboard-reviews/lobster-halldor-pro-2020-snowboard-review,Not for us,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",Dubai by SWS,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Average,Average,Good,Great,Great,Great,Good,Average,['2020'],mens
Marhar Archaic,https://thegoodride.com/snowboard-reviews/marhar-archaic-2018-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,"8-10, 10-12",USA by Marhar,True Twin,Hybrid Rocker,Centered,Feels Normal,Average,Good,Average,Good,Good,Great,Good,Good,Good,['2018'],mens
Marhar Darkside,https://thegoodride.com/snowboard-reviews/marhar-darkside-2018-snowboard-review,Loved it!,All Mountain Freestyle,Intermediate - Expert,"8-10, 10-12",USA by Marhar,True Twin,Hybrid Camber,Centered,Feels Normal,Average,Great,Good,Great,Good,Great,Great,Average,Great,['2018'],mens
Marhar Half Breed,https://thegoodride.com/snowboard-reviews/marhar-half-breed-2018-snowboard-review,Liked it!,Jib / Street,Beginner - Expert,"8-10, 10-12",USA by Marhar,True Twin,Flat to Rocker,Centered,Feels Normal,Average,,,,,,,,,['2018'],mens
Marhar Lumberjack,https://thegoodride.com/snowboard-reviews/marhar-lumberjack-2018-snowboard-review,Liked it!,Powder,Intermediate - Expert,"8-10, 10-12",USA by Marhar,True Twin,Flat to Rocker,Centered,Feels Normal,Good,Average,Average,Good,Good,Great,Good,Great,Average,['2018'],mens
Marhar Regent,https://thegoodride.com/snowboard-reviews/marhar-regent-2018-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,"8-10, 10-12",USA by Marhar,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Good,Average,Good,Great,Great,Good,Good,Good,['2018'],mens
Marhar Woodsman,https://thegoodride.com/snowboard-reviews/marhar-woodsman-2018-snowboard-review,Liked it!,Powder,Intermediate - Expert,8-10,USA by Marhar,Tapered Directional,Flat to Rocker,Centered,Feels Normal,Great,Average,Average,Average,Good,Poor,Average,Good,Average,['2018'],mens
Moss Snowstick 58 Swallow,https://thegoodride.com/snowboard-reviews/moss-snowstick-58-swallow-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Excellent,Great,Great,Average,Average,Poor,Average,Poor,Average,[],mens
Moss Snowstick  C3,https://thegoodride.com/snowboard-reviews/moss-snowstick-c3-2019-2020-snowboard-review,None,Alternative Freeride,Advanced -,"< 8, 8-10",None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Light,Great,Good,Good,Average,Average,Poor,Average,Poor,Average,"['2019', '2020']",mens
Moss Snowstick Jellyfish,https://thegoodride.com/snowboard-reviews/moss-snowstick-jellyfish-2019-2020-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Excellent,Great,Great,Average,Average,Poor,Average,Poor,Average,"['2019', '2020']",mens
Moss Snowstick Performance Quad 54,https://thegoodride.com/snowboard-reviews/moss-snowstick-performance-quad-54-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Directional Camber,Setback -20mm,Feels Normal,Great,Great,Good,Average,Good,Poor,Poor,Poor,Average,[],mens
Moss Snowstick Performance Quad 60,https://thegoodride.com/snowboard-reviews/moss-snowstick-performance-quad-60-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Good,Good,Good,Poor,Average,Poor,Average,[],mens
Moss Snowstick U4,https://thegoodride.com/snowboard-reviews/moss-snowstick-u4-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Average,Good,Poor,Average,Poor,Average,[],mens
Moss Snowstick  U5,https://thegoodride.com/snowboard-reviews/moss-snowstick-u5-snowboard-revie,Liked it!,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Great,Good,Good,Good,Poor,Average,Poor,Average,[],mens
Moss Snowstick Wing Swallow 49,https://thegoodride.com/snowboard-reviews/moss-snowstick-wing-swallow-49-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Average,Good,Poor,Poor,Poor,Average,[],mens
Moss Snowstick Wing Swallow 57,https://thegoodride.com/snowboard-reviews/moss-snowstick-wing-swallow-57-snowboard-review,None,Alternative Freeride,Advanced - Expert,8-10,None,Tapered Directional,Hybrid Camber,Setback over 20mm,Feels Normal,Excellent,Good,Good,Average,Average,Poor,Average,Poor,Average,[],mens
Never Summer Big Gun,https://thegoodride.com/snowboard-reviews/never-summer-big-gun-2018-2020-snowboard-review,Liked it!,Freeride,Advanced - Expert,"8-10, 10-12",USA by Never Summer,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Great,Good,Great,Great,Average,Average,Poor,Average,"['2018', '2020']",mens
